primer_id	fn	rn
2012112001	2012-11-21-11	2012-11-21-12
6240655	2012-11-21-1	2012-11-21-2
6212569	2012-11-21-3	2012-11-21-4
6232706	2012-11-21-5	2012-11-21-6
6205993	2012-11-21-7	2012-11-21-8
6206733	2012-11-21-9	2012-11-21-10
6012753	2012-3-12-1	2012-3-12-2
6080654	2012-3-12-3	2012-3-12-4
6080852	2012-3-12-5	2012-3-12-6
6015939	2012-3-12-7	2012-3-12-8
6007126	2012-3-12-9	2012-3-12-10
6026876	2012-3-12-11	2012-3-12-12
51395	2012-3-12-15	2012-3-12-16
81944	2012-3-12-17	2012-3-12-18
51583	2012-3-12-19	2012-3-12-20
2012030701	2012-3-12-23	2012-3-12-24
2012032701	2012-3-27-92	2012-3-27-93
22061	2012-3-27-94	2012-3-27-95
6046660	2012-3-27-1	2012-3-27-2
6222811	2012-3-27-3	2012-3-27-4
6237304	2012-3-27-5	2012-3-27-6
6256756	2012-3-27-7	2012-3-27-8
82380	2012-3-27-9	2012-3-27-10
132446	2012-3-27-11	2012-3-27-12
6207413	2012-3-27-13	2012-3-27-14
6204114	2012-3-27-15	2012-3-27-16
6030925	2012-3-27-17	2012-3-27-18
6224732	2012-3-27-19	2012-3-27-20
6225741	2012-3-27-21	2012-3-27-22
6212181	2012-3-27-23	2012-3-27-24
6079691	2012-3-27-25	2012-3-27-26
6221769	2012-3-27-27	2012-3-27-28
6003739	2012-3-27-29	2012-3-27-30
6007629	2012-3-27-31	2012-3-27-32
6025804	2012-3-27-33	2012-3-27-34
6201301	2012-3-27-35	2012-3-27-36
6206796	2012-3-27-37	2012-3-27-38
72358	2012-3-27-39	2012-3-27-40
72249	2012-3-27-41	2012-3-27-42
6066879	2012-3-27-43	2012-3-27-44
72443	2012-3-27-45	2012-3-27-46
112967	2012-3-27-47	2012-3-27-48
6209368	2012-3-27-49	2012-3-27-50
6068155	2012-3-27-51	2012-3-27-52
111338	2012-3-27-53	2012-3-27-54
131926	2012-3-27-55	2012-3-27-56
6235037	2012-3-27-57	2012-3-27-58
6059524	2012-3-27-59	2012-3-27-60
6254092	2012-3-27-61	2012-3-27-62
84014	2012-3-27-63	2012-3-27-64
6250030	2012-3-27-65	2012-3-27-66
9615	2012-3-27-67	2012-3-27-68
6214731	2012-3-27-69	2012-3-27-70
6247039	2012-3-27-71	2012-3-27-72
41940	2012-3-27-75	2012-3-27-76
6217255	2012-3-27-77	2012-3-27-78
6209978	2012-3-27-79	2012-3-27-80
6204297	2012-3-27-81	2012-3-27-82
2012032601	2012-3-27-83	2012-3-27-84
126226	2012-3-12-21	2012-3-12-22
6023139	2012-5-15-77	2012-5-15-78
6023421	2012-5-15-17	2012-5-15-18
6241593	6241593-1	6241593-2
6215569	6215569-1	6215569-2
6200332	6200332-1	6200332-2
6212200	6212200-1	6212200-2
6213489	6213489-1	6213489-2
6240987	6240987-1	6240987-2
6207146	6207146-1	6207146-2
6224840	6224840-1	6224840-2
6218630	6218630-1	6218630-2
6225310	6225310-1	6225310-2
6254717	6254717-1	6254717-2
20883	2012-5-15-1	2012-5-15-2
6064560	2012-5-15-3	2012-5-15-4
6096956	2012-5-15-5	2012-5-15-6
102335	2012-5-15-7	2012-5-15-8
6239123	2012-5-15-9	2012-5-15-10
6013423	2012-5-15-11	2012-5-15-12
6026243	2012-5-15-13	2012-5-15-14
6068819	2012-5-15-15	2012-5-15-16
6247939	2012-5-15-19	2012-5-15-20
6022738	2012-5-15-21	2012-5-15-22
6046354	2012-5-15-23	2012-5-15-24
33278	2012-5-15-25	2012-5-15-26
6082836	2012-5-15-27	2012-5-15-28
30517	2012-5-15-29	2012-5-15-30
97085	2012-5-15-31	2012-5-15-32
6211572	2012-5-15-33	2012-5-15-34
6058470	2012-5-15-35	2012-5-15-36
6213489	2012-5-15-37	2012-5-15-38
118231	2012-5-15-39	2012-5-15-40
121810	2012-5-15-41	2012-5-15-42
6007312	2012-5-15-43	2012-5-15-44
2012051101	2012-5-15-45	2012-5-15-46
2012051102	2012-5-15-47	2012-5-15-48
2012051103	2012-5-15-49	2012-5-15-50
128258	2012-5-15-51	2012-5-15-52
128270	2012-5-15-53	2012-5-15-54
6239275	2012-5-15-55	2012-5-15-56
6058057	2012-5-15-57	2012-5-15-58
51214	2012-5-15-59	2012-5-15-60
2012051104	2012-5-15-61	2012-5-15-62
2012051105	2012-5-15-63	2012-5-15-64
2012051106	2012-5-15-65	2012-5-15-66
2012051107	2012-5-15-67	2012-5-15-68
6209220	2012-5-15-69	2012-5-15-70
29967	2012-5-15-71	2012-5-15-72
6241060	2012-5-15-73	2012-5-15-74
2012051108	2012-5-15-75	2012-5-15-76
2012051109	2012-5-15-79	2012-5-15-80
6014499	2012-5-15-81	2012-5-15-82
6095051	2012-5-15-83	2012-5-15-84
6023322	2012-5-15-85	2012-5-15-86
6092491	2012-5-15-87	2012-5-15-88
6214535	2012-5-15-89	2012-5-15-90
85445	2012-5-15-91	2012-5-15-92
6210408	2012-5-15-93	2012-5-15-94
6220476	2012-5-15-95	2012-5-15-96
6094332	2012-5-15-97	2012-5-15-98
6246323	2012-5-15-99	2012-5-15-100
6229605	2012-5-15-101	2012-5-15-102
6219703	2012-5-15-103	2012-5-15-104
6224558	2012-5-15-105	2012-5-15-106
6212460	2012-5-15-107	2012-5-15-108
6024652	2012-5-15-109	2012-5-15-110
13997	2012-5-15-111	2012-5-15-112
6230302	2012-5-15-113	2012-5-15-114
6228911	2012-5-15-115	2012-5-15-116
6253128	2012-5-15-117	2012-5-15-118
6200247	2012-5-15-119	2012-5-15-120
6224550	2012-5-15-121	2012-5-15-122
6233692	2012-5-15-123	2012-5-15-124
6223701	2012-5-15-125	2012-5-15-126
6010172	2012-5-15-127	2012-5-15-128
204014	2012-5-15-129	2012-5-15-130
111221	2012-5-15-131	2012-5-15-132
6084117	2012-5-15-133	2012-5-15-134
2012051110	2012-5-15-135	2012-5-15-136
32632	2012-5-15-137	2012-5-15-138
6014237	2012-5-15-139	2012-5-15-140
6217840	2012-5-15-141	2012-5-15-142
43408	2012092403	2012092404
88903	2012092407	2012092408
114792	2012092409	2012092410
115665	2012092411	2012092412
6094058	2012092413	2012092414
6048692	2012092417	2012092418
6005974	2012092419	2012092420
6018321	2012092421	2012092422
6200082	2012092423	2012092424
6255169	2012092425	2012092426
6205196	2012092427	2012092428
6238461	2012092429	2012092430
6239603	2012092431	2012092432
6229655	2012092433	2012092434
6247291	2012092435	2012092436
2012092401	2012092401	2012092402
6012640	2012092415	2012092416
6093571	20121022-1	20121022-2
6233930	20121022-3	20121022-4
13326	20121022-5	20121022-6
