00-00	20.0	20.0	14.0	14.0	20.0	20.0
00-02	16.0	16.0	8.0	10.0	14.0	16.0
00-04	17.0	17.0	8.0	9.0	14.0	17.0
00-06	17.0	17.0	9.0	11.0	16.0	17.0
00-08	18.0	18.0	9.0	9.0	14.0	18.0
00-10	17.0	17.0	8.0	10.0	15.0	16.0
00-12	17.0	17.0	9.0	10.0	15.0	18.0
00-14	19.0	19.0	10.0	10.0	15.0	17.0
00-16	16.0	16.0	9.0	8.0	16.0	16.0
00-18	17.0	17.0	10.0	9.0	17.0	17.0
00-20	17.0	17.0	9.0	10.0	17.0	17.0
00-22	16.0	16.0	8.0	9.0	16.0	16.0
00-24	17.0	17.0	9.0	10.0	16.0	16.0
00-26	16.0	16.0	10.0	8.0	15.0	16.0
00-28	17.0	17.0	8.0	9.0	16.0	16.0
00-30	20.0	18.0	13.0	12.0	19.0	19.0
00-32	16.0	16.0	10.0	9.0	16.0	16.0
00-34	17.0	17.0	9.0	9.0	16.0	16.0
00-36	17.0	17.0	9.0	10.0	17.0	17.0
00-38	16.0	16.0	8.0	9.0	16.0	16.0
00-40	16.0	16.0	10.0	10.0	15.0	18.0
00-42	18.0	18.0	9.0	9.0	17.0	18.0
00-44	17.0	17.0	8.0	10.0	14.0	17.0
00-46	17.0	17.0	10.0	10.0	14.0	16.0
00-48	17.0	16.0	10.0	10.0	14.0	17.0
00-50	17.0	17.0	10.0	10.0	15.0	17.0
00-52	16.0	16.0	9.0	10.0	15.0	16.0
00-54	15.0	15.0	8.0	10.0	15.0	15.0
00-56	16.0	16.0	9.0	8.0	13.0	15.0
00-58	16.0	16.0	8.0	9.0	15.0	16.0
01-00	18.0	18.0	12.0	12.0	18.0	18.0
01-02	15.0	15.0	10.0	10.0	15.0	15.0
01-04	16.0	16.0	10.0	10.0	15.0	16.0
01-06	17.0	17.0	11.0	10.0	16.0	17.0
01-08	16.0	16.0	9.0	9.0	16.0	16.0
01-10	16.0	16.0	10.0	9.0	16.0	17.0
01-12	17.0	17.0	10.0	10.0	16.0	17.0
01-14	16.0	16.0	10.0	9.0	15.0	16.0
01-16	15.0	14.0	10.0	8.0	16.0	16.0
01-18	16.0	16.0	11.0	10.0	17.0	17.0
01-20	16.0	15.0	10.0	12.0	16.0	16.0
01-22	16.0	16.0	8.0	9.0	14.0	16.0
01-24	17.0	17.0	10.0	9.0	16.0	17.0
01-26	15.0	15.0	11.0	9.0	17.0	17.0
01-28	15.0	14.0	10.0	9.0	15.0	15.0
01-30	18.0	18.0	12.0	12.0	18.0	18.0
01-32	15.0	15.0	11.0	9.0	16.0	16.0
01-34	15.0	15.0	9.0	8.0	15.0	15.0
01-36	16.0	16.0	10.0	9.0	15.0	16.0
01-38	15.0	15.0	10.0	9.0	15.0	15.0
01-40	16.0	16.0	10.0	11.0	14.0	16.0
01-42	17.0	17.0	9.0	9.0	14.0	17.0
01-44	16.0	16.0	9.0	9.0	13.0	16.0
01-46	16.0	16.0	7.0	9.0	13.0	16.0
01-48	16.0	15.0	9.0	9.0	16.0	17.0
01-50	16.0	16.0	8.0	9.0	14.0	17.0
01-52	16.0	16.0	8.0	9.0	14.0	16.0
01-54	16.0	16.0	10.0	9.0	16.0	17.0
01-56	16.0	16.0	8.0	9.0	15.0	16.0
01-58	17.0	17.0	8.0	9.0	14.0	17.0
02-00	18.0	18.0	11.0	12.0	15.0	19.0
02-02	15.0	15.0	8.0	8.0	15.0	15.0
02-04	16.0	16.0	9.0	8.0	15.0	16.0
02-06	17.0	17.0	10.0	9.0	16.0	16.0
02-08	16.0	15.0	8.0	9.0	16.0	16.0
02-10	16.0	16.0	8.0	8.0	16.0	17.0
02-12	16.0	16.0	10.0	8.0	15.0	16.0
02-14	16.0	15.0	10.0	9.0	15.0	15.0
02-16	16.0	15.0	8.0	9.0	15.0	15.0
02-18	16.0	15.0	9.0	9.0	15.0	16.0
02-20	17.0	17.0	10.0	9.0	16.0	17.0
02-22	16.0	16.0	8.0	9.0	14.0	16.0
02-24	15.0	15.0	10.0	9.0	14.0	15.0
02-26	16.0	16.0	8.0	10.0	14.0	15.0
02-28	15.0	15.0	7.0	9.0	15.0	15.0
02-30	19.0	19.0	9.0	11.0	18.0	19.0
02-32	16.0	16.0	8.0	8.0	14.0	16.0
02-34	15.0	16.0	7.0	9.0	15.0	16.0
02-36	16.0	16.0	8.0	10.0	14.0	16.0
02-38	15.0	16.0	7.0	9.0	13.0	16.0
02-40	15.0	15.0	9.0	9.0	14.0	15.0
02-42	15.0	15.0	8.0	10.0	15.0	16.0
02-44	16.0	14.0	8.0	8.0	16.0	16.0
02-46	15.0	15.0	9.0	10.0	14.0	15.0
02-48	17.0	17.0	9.0	9.0	15.0	17.0
02-50	16.0	16.0	8.0	9.0	14.0	16.0
02-52	15.0	15.0	9.0	10.0	14.0	15.0
02-54	16.0	16.0	9.0	9.0	15.0	16.0
02-56	16.0	15.0	8.0	9.0	14.0	15.0
02-58	16.0	16.0	7.0	9.0	14.0	16.0
03-00	19.0	18.0	11.0	12.0	19.0	19.0
03-02	15.0	15.0	8.0	9.0	14.0	15.0
03-04	15.0	15.0	7.0	9.0	15.0	17.0
03-06	15.0	15.0	10.0	9.0	15.0	16.0
03-08	14.0	14.0	7.0	9.0	14.0	14.0
03-10	16.0	15.0	9.0	9.0	15.0	15.0
03-12	17.0	17.0	8.0	9.0	17.0	17.0
03-14	15.0	15.0	7.0	9.0	14.0	15.0
03-16	16.0	15.0	9.0	8.0	15.0	15.0
03-18	16.0	15.0	10.0	8.0	16.0	16.0
03-20	17.0	15.0	9.0	9.0	17.0	17.0
03-22	15.0	15.0	8.0	8.0	15.0	16.0
03-24	16.0	16.0	8.0	9.0	16.0	16.0
03-26	15.0	15.0	9.0	8.0	15.0	15.0
03-28	15.0	15.0	9.0	8.0	14.0	15.0
03-30	19.0	16.0	12.0	10.0	19.0	19.0
03-32	15.0	15.0	8.0	7.0	14.0	15.0
03-34	16.0	14.0	8.0	8.0	16.0	15.0
03-36	16.0	16.0	9.0	8.0	15.0	17.0
03-38	15.0	14.0	7.0	8.0	15.0	15.0
03-40	16.0	16.0	9.0	9.0	14.0	16.0
03-42	17.0	16.0	9.0	9.0	17.0	17.0
03-44	15.0	14.0	8.0	7.0	15.0	15.0
03-46	15.0	15.0	8.0	9.0	13.0	15.0
03-48	16.0	15.0	8.0	9.0	14.0	15.0
03-50	15.0	15.0	7.0	8.0	13.0	15.0
03-52	15.0	15.0	8.0	10.0	13.0	15.0
03-54	16.0	16.0	8.0	9.0	15.0	17.0
03-56	14.0	14.0	10.0	8.0	14.0	15.0
03-58	15.0	14.0	9.0	9.0	15.0	15.0
04-00	18.0	18.0	13.0	11.0	17.0	17.0
04-02	14.0	14.0	8.0	7.0	14.0	14.0
04-04	14.0	14.0	9.0	7.0	14.0	14.0
04-06	16.0	16.0	10.0	10.0	16.0	16.0
04-08	15.0	15.0	9.0	8.0	15.0	15.0
04-10	15.0	15.0	9.0	8.0	14.0	15.0
04-12	15.0	15.0	10.0	9.0	14.0	16.0
04-14	14.0	14.0	10.0	8.0	14.0	14.0
04-16	15.0	15.0	8.0	8.0	16.0	16.0
04-18	16.0	16.0	9.0	9.0	16.0	16.0
04-20	15.0	17.0	9.0	10.0	14.0	17.0
04-22	16.0	16.0	7.0	9.0	14.0	17.0
04-24	16.0	16.0	8.0	8.0	16.0	16.0
04-26	16.0	16.0	7.0	9.0	14.0	17.0
04-28	16.0	16.0	8.0	9.0	14.0	16.0
04-30	19.0	19.0	11.0	12.0	17.0	19.0
04-32	15.0	15.0	7.0	9.0	13.0	17.0
04-34	15.0	15.0	8.0	9.0	14.0	16.0
04-36	16.0	16.0	10.0	10.0	14.0	16.0
04-38	16.0	16.0	7.0	9.0	13.0	16.0
04-40	15.0	15.0	8.0	9.0	15.0	15.0
04-42	15.0	15.0	8.0	9.0	14.0	15.0
04-44	16.0	16.0	8.0	8.0	14.0	16.0
04-46	15.0	15.0	8.0	9.0	13.0	15.0
04-48	15.0	14.0	8.0	8.0	15.0	15.0
04-50	15.0	14.0	8.0	8.0	15.0	15.0
04-52	14.0	14.0	9.0	8.0	13.0	14.0
04-54	16.0	16.0	8.0	9.0	14.0	16.0
04-56	14.0	14.0	8.0	9.0	14.0	14.0
04-58	14.0	14.0	9.0	8.0	14.0	14.0
05-00	18.0	18.0	12.0	13.0	17.0	18.0
05-02	17.0	15.0	8.0	8.0	15.0	16.0
05-04	16.0	15.0	7.0	8.0	14.0	15.0
05-06	17.0	15.0	8.0	9.0	17.0	17.0
05-08	15.0	15.0	8.0	8.0	14.0	15.0
05-10	16.0	15.0	7.0	8.0	15.0	15.0
05-12	16.0	16.0	8.0	8.0	16.0	16.0
05-14	15.0	15.0	7.0	8.0	14.0	15.0
05-16	14.0	14.0	7.0	9.0	14.0	15.0
05-18	15.0	15.0	8.0	9.0	15.0	15.0
05-20	17.0	17.0	8.0	9.0	14.0	17.0
05-22	14.0	15.0	8.0	9.0	13.0	15.0
05-24	16.0	16.0	10.0	10.0	14.0	16.0
05-26	15.0	15.0	9.0	7.0	14.0	16.0
05-28	16.0	16.0	7.0	8.0	14.0	16.0
05-30	18.0	17.0	11.0	12.0	18.0	18.0
05-32	14.0	14.0	8.0	8.0	13.0	14.0
05-34	15.0	15.0	7.0	9.0	13.0	15.0
05-36	15.0	15.0	7.0	10.0	15.0	16.0
05-38	16.0	16.0	7.0	9.0	14.0	16.0
05-40	15.0	15.0	8.0	9.0	15.0	15.0
05-42	16.0	16.0	9.0	9.0	15.0	16.0
05-44	16.0	14.0	8.0	7.0	14.0	15.0
05-46	14.0	14.0	8.0	7.0	14.0	14.0
05-48	15.0	14.0	7.0	8.0	15.0	15.0
05-50	15.0	15.0	7.0	8.0	14.0	15.0
05-52	15.0	15.0	8.0	8.0	14.0	15.0
05-54	16.0	16.0	10.0	9.0	16.0	16.0
05-56	15.0	15.0	9.0	8.0	14.0	15.0
05-58	16.0	14.0	10.0	8.0	15.0	15.0
06-00	19.0	19.0	11.0	11.0	17.0	19.0
06-02	15.0	15.0	8.0	8.0	13.0	16.0
06-04	15.0	15.0	8.0	7.0	14.0	16.0
06-06	16.0	16.0	8.0	9.0	13.0	16.0
06-08	16.0	16.0	8.0	9.0	13.0	16.0
06-10	15.0	15.0	7.0	8.0	14.0	15.0
06-12	15.0	15.0	8.0	9.0	14.0	15.0
06-14	16.0	16.0	8.0	9.0	14.0	16.0
06-16	14.0	14.0	8.0	8.0	14.0	14.0
06-18	16.0	16.0	10.0	7.0	15.0	17.0
06-20	15.0	15.0	8.0	9.0	15.0	15.0
06-22	15.0	15.0	9.0	7.0	14.0	15.0
06-24	15.0	15.0	8.0	9.0	14.0	15.0
06-26	15.0	15.0	7.0	7.0	14.0	14.0
06-28	14.0	13.0	8.0	8.0	14.0	14.0
06-30	19.0	19.0	11.0	11.0	19.0	19.0
06-32	15.0	15.0	7.0	7.0	15.0	15.0
06-34	15.0	15.0	7.0	7.0	14.0	15.0
06-36	15.0	15.0	8.0	8.0	14.0	15.0
06-38	14.0	13.0	7.0	7.0	14.0	14.0
06-40	14.0	15.0	8.0	8.0	14.0	15.0
06-42	16.0	16.0	7.0	8.0	14.0	16.0
06-44	14.0	14.0	7.0	7.0	14.0	14.0
06-46	14.0	14.0	7.0	8.0	14.0	14.0
06-48	16.0	16.0	8.0	7.0	14.0	16.0
06-50	14.0	14.0	7.0	6.0	13.0	14.0
06-52	14.0	14.0	8.0	7.0	13.0	14.0
06-54	15.0	15.0	8.0	9.0	14.0	15.0
06-56	14.0	14.0	8.0	8.0	14.0	15.0
06-58	14.0	14.0	9.0	8.0	15.0	15.0
07-00	19.0	19.0	10.0	11.0	17.0	19.0
07-02	15.0	15.0	8.0	7.0	13.0	15.0
07-04	14.0	13.0	8.0	8.0	14.0	14.0
07-06	15.0	16.0	8.0	8.0	14.0	16.0
07-08	15.0	15.0	8.0	7.0	14.0	14.0
07-10	14.0	14.0	7.0	7.0	14.0	14.0
07-12	14.0	14.0	8.0	8.0	13.0	14.0
07-14	15.0	15.0	7.0	8.0	12.0	14.0
07-16	15.0	15.0	7.0	8.0	12.0	16.0
07-18	16.0	16.0	9.0	9.0	12.0	16.0
07-20	15.0	15.0	10.0	9.0	14.0	16.0
07-22	15.0	15.0	7.0	8.0	13.0	15.0
07-24	15.0	15.0	8.0	9.0	15.0	16.0
07-26	15.0	15.0	7.0	9.0	14.0	16.0
07-28	16.0	16.0	7.0	9.0	13.0	16.0
07-30	19.0	19.0	12.0	12.0	18.0	19.0
07-32	15.0	15.0	8.0	8.0	13.0	15.0
07-34	15.0	15.0	8.0	8.0	13.0	15.0
07-36	15.0	15.0	10.0	9.0	13.0	15.0
07-38	16.0	16.0	8.0	8.0	12.0	15.0
07-40	17.0	17.0	8.0	9.0	13.0	17.0
07-42	15.0	15.0	8.0	9.0	13.0	15.0
07-44	17.0	17.0	7.0	9.0	13.0	16.0
07-46	16.0	16.0	8.0	9.0	14.0	16.0
07-48	16.0	16.0	9.0	8.0	14.0	16.0
07-50	17.0	17.0	9.0	10.0	14.0	17.0
07-52	16.0	16.0	9.0	9.0	14.0	16.0
07-54	17.0	17.0	8.0	9.0	15.0	17.0
07-56	16.0	15.0	9.0	9.0	16.0	16.0
07-58	16.0	16.0	10.0	9.0	15.0	16.0
08-00	18.0	18.0	14.0	13.0	18.0	18.0
08-02	16.0	16.0	10.0	9.0	15.0	16.0
08-04	17.0	17.0	10.0	8.0	15.0	16.0
08-06	16.0	16.0	10.0	10.0	15.0	17.0
08-08	17.0	16.0	10.0	8.0	17.0	17.0
08-10	16.0	15.0	9.0	9.0	16.0	16.0
08-12	17.0	17.0	10.0	10.0	17.0	17.0
08-14	17.0	15.0	10.0	9.0	16.0	16.0
08-16	18.0	18.0	11.0	9.0	16.0	18.0
08-18	17.0	17.0	11.0	9.0	17.0	17.0
08-20	18.0	18.0	10.0	11.0	16.0	18.0
08-22	17.0	16.0	9.0	10.0	17.0	16.0
08-24	17.0	17.0	10.0	10.0	18.0	18.0
08-26	17.0	16.0	10.0	9.0	17.0	17.0
08-28	18.0	16.0	10.0	10.0	17.0	17.0
08-30	19.0	19.0	14.0	12.0	18.0	19.0
08-32	17.0	17.0	11.0	10.0	17.0	17.0
08-34	18.0	18.0	10.0	9.0	17.0	18.0
08-36	18.0	18.0	11.0	11.0	18.0	18.0
08-38	18.0	18.0	10.0	10.0	17.0	18.0
08-40	19.0	18.0	10.0	10.0	19.0	19.0
08-42	17.0	17.0	12.0	13.0	18.0	18.0
08-44	18.0	18.0	11.0	10.0	18.0	18.0
08-46	17.0	17.0	12.0	10.0	18.0	18.0
08-48	17.0	17.0	11.0	11.0	17.0	17.0
08-50	18.0	18.0	11.0	9.0	16.0	18.0
08-52	17.0	17.0	11.0	11.0	19.0	19.0
08-54	18.0	18.0	12.0	12.0	18.0	18.0
08-56	17.0	17.0	12.0	11.0	18.0	18.0
08-58	17.0	17.0	12.0	12.0	17.0	17.0
09-00	21.0	20.0	15.0	14.0	21.0	21.0
09-02	19.0	18.0	12.0	11.0	19.0	19.0
09-04	19.0	17.0	12.0	11.0	19.0	19.0
09-06	19.0	18.0	12.0	11.0	19.0	19.0
09-08	18.0	17.0	12.0	11.0	19.0	19.0
09-10	18.0	17.0	12.0	11.0	18.0	18.0
09-12	19.0	17.0	13.0	13.0	19.0	18.0
09-14	18.0	18.0	11.0	13.0	17.0	18.0
09-16	18.0	17.0	11.0	13.0	18.0	18.0
09-18	18.0	18.0	12.0	13.0	18.0	18.0
09-20	19.0	18.0	12.0	13.0	19.0	19.0
09-22	18.0	18.0	12.0	11.0	18.0	19.0
09-24	19.0	19.0	12.0	13.0	19.0	19.0
09-26	19.0	17.0	12.0	13.0	19.0	19.0
09-28	19.0	18.0	12.0	13.0	18.0	19.0
09-30	21.0	20.0	14.0	16.0	21.0	21.0
09-32	19.0	19.0	11.0	12.0	18.0	19.0
09-34	19.0	19.0	11.0	14.0	18.0	19.0
09-36	19.0	19.0	11.0	14.0	19.0	19.0
09-38	19.0	19.0	12.0	13.0	18.0	20.0
09-40	21.0	21.0	12.0	14.0	18.0	21.0
09-42	19.0	19.0	13.0	14.0	19.0	20.0
09-44	19.0	19.0	12.0	13.0	19.0	19.0
09-46	19.0	19.0	12.0	12.0	19.0	20.0
09-48	20.0	19.0	12.0	14.0	20.0	20.0
09-50	19.0	19.0	12.0	14.0	19.0	19.0
09-52	19.0	19.0	11.0	13.0	19.0	19.0
09-54	20.0	19.0	12.0	15.0	20.0	20.0
09-56	19.0	19.0	12.0	13.0	19.0	19.0
09-58	19.0	19.0	13.0	13.0	19.0	19.0
10-00	24.0	24.0	16.0	19.0	22.0	24.0
10-02	19.0	20.0	12.0	14.0	19.0	20.0
10-04	19.0	19.0	12.0	15.0	19.0	19.0
10-06	21.0	21.0	13.0	14.0	21.0	21.0
10-08	20.0	20.0	13.0	14.0	18.0	20.0
10-10	21.0	21.0	13.0	13.0	19.0	20.0
10-12	21.0	21.0	12.0	14.0	20.0	21.0
10-14	20.0	20.0	14.0	12.0	20.0	20.0
10-16	20.0	19.0	14.0	14.0	19.0	20.0
10-18	21.0	21.0	13.0	13.0	20.0	21.0
10-20	21.0	21.0	15.0	14.0	21.0	22.0
