08-19	43.0	43.0	39.0	41.0	42.0
08-20	44.0	44.0	40.0	42.0	43.0
08-22	44.0	44.0	39.0	41.0	42.0
08-24	86.0	85.0	85.0	86.0	84.0
08-26	85.0	85.0	84.0	85.0	83.0
08-28	74.0	74.0	71.0	71.0	71.0
08-30	81.0	80.0	80.0	81.0	79.0
08-32	78.0	78.0	78.0	77.0	76.0
08-34	71.0	71.0	71.0	71.0	70.0
08-36	94.0	94.0	94.0	94.0	91.0
08-38	79.0	79.0	77.0	78.0	76.0
08-40	71.0	71.0	71.0	70.0	71.0
08-42	73.0	72.0	72.0	72.0	71.0
08-43	71.0	71.0	70.0	70.0	70.0
08-44	71.0	71.0	68.0	68.0	67.0
08-45	74.0	74.0	73.0	73.0	72.0
08-46	70.0	70.0	69.0	70.0	70.0
08-47	84.0	84.0	84.0	84.0	82.0
08-48	50.0	50.0	45.0	48.0	48.0
08-50	46.0	46.0	43.0	45.0	44.0
08-50	46.0	46.0	42.0	44.0	45.0
08-52	45.0	45.0	41.0	43.0	43.0
08-53	45.0	45.0	41.0	43.0	43.0
08-54	44.0	44.0	41.0	42.0	42.0
08-55	45.0	45.0	41.0	43.0	42.0
08-56	45.0	45.0	41.0	43.0	43.0
08-57	46.0	44.0	41.0	43.0	45.0
08-58	48.0	48.0	42.0	44.0	43.0
08-59	45.0	45.0	40.0	43.0	43.0
09-00	45.0	45.0	41.0	43.0	42.0
09-01	46.0	45.0	40.0	42.0	42.0
09-03	44.0	45.0	40.0	41.0	41.0
09-04	43.0	42.0	39.0	42.0	42.0
09-04	43.0	42.0	39.0	42.0	42.0
09-05	44.0	44.0	40.0	43.0	42.0
09-05	43.0	43.0	40.0	42.0	42.0
09-06	45.0	45.0	40.0	43.0	42.0
09-07	44.0	44.0	40.0	42.0	42.0
09-08	68.0	68.0	67.0	60.0	60.0
09-11	50.0	49.0	46.0	46.0	50.0
09-12	44.0	44.0	40.0	42.0	43.0
09-13	41.0	41.0	37.0	39.0	40.0
09-14	41.0	41.0	36.0	40.0	40.0
09-15	63.0	63.0	61.0	59.0	57.0
09-16	68.0	63.0	64.0	68.0	64.0
09-17	68.0	68.0	63.0	67.0	63.0
09-18	72.0	72.0	70.0	69.0	66.0
09-19	72.0	72.0	70.0	66.0	63.0
09-20	73.0	73.0	71.0	67.0	64.0
09-21	72.0	72.0	70.0	68.0	66.0
09-22	72.0	72.0	71.0	68.0	64.0
09-23	71.0	71.0	68.0	67.0	65.0
09-24	72.0	72.0	71.0	67.0	65.0
09-25	73.0	73.0	71.0	67.0	64.0
09-26	72.0	72.0	71.0	66.0	63.0
09-27	72.0	72.0	70.0	66.0	64.0
09-28	72.0	72.0	71.0	66.0	64.0
09-29	72.0	71.0	70.0	66.0	63.0
09-30	72.0	72.0	71.0	68.0	66.0
09-31	72.0	72.0	71.0	68.0	64.0
09-32	71.0	71.0	68.0	63.0	61.0
09-33	63.0	63.0	60.0	61.0	61.0
09-34	71.0	71.0	67.0	69.0	64.0
09-35	68.0	67.0	64.0	68.0	64.0
09-36	71.0	71.0	69.0	65.0	64.0
09-37	58.0	58.0	56.0	58.0	57.0
09-38	68.0	68.0	62.0	62.0	65.0
09-39	71.0	71.0	69.0	67.0	65.0
09-40	71.0	67.0	69.0	71.0	66.0
09-41	69.0	69.0	66.0	66.0	68.0
09-42	70.0	70.0	67.0	67.0	69.0
09-43	70.0	70.0	67.0	67.0	69.0
09-44	71.0	71.0	66.0	67.0	69.0
09-45	70.0	70.0	66.0	66.0	69.0
09-46	69.0	69.0	65.0	66.0	68.0
09-47	69.0	69.0	63.0	66.0	68.0
09-48	71.0	71.0	69.0	67.0	64.0
09-49	70.0	70.0	67.0	68.0	65.0
09-50	70.0	70.0	65.0	68.0	64.0
09-51	71.0	71.0	66.0	68.0	65.0
09-52	71.0	71.0	66.0	68.0	66.0
09-53	70.0	70.0	65.0	65.0	64.0
09-54	67.0	67.0	64.0	66.0	63.0
09-55	66.0	66.0	62.0	64.0	61.0
09-56	67.0	67.0	64.0	64.0	67.0
09-57	70.0	70.0	66.0	68.0	64.0
09-58	70.0	66.0	70.0	70.0	66.0
09-59	70.0	69.0	64.0	67.0	61.0
10-00	70.0	70.0	67.0	67.0	66.0
10-01	70.0	70.0	67.0	67.0	64.0
10-02	71.0	71.0	65.0	67.0	66.0
10-03	70.0	70.0	67.0	68.0	64.0
10-04	71.0	67.0	69.0	71.0	65.0
10-05	70.0	70.0	66.0	68.0	66.0
10-06	71.0	71.0	68.0	68.0	67.0
10-07	72.0	72.0	69.0	65.0	64.0
10-08	71.0	71.0	69.0	67.0	63.0
10-09	72.0	72.0	70.0	67.0	66.0
10-10	70.0	70.0	68.0	69.0	67.0
10-12	45.0	44.0	40.0	45.0	44.0
10-14	64.0	64.0	61.0	60.0	61.0
10-16	83.0	83.0	82.0	80.0	74.0
10-18	74.0	73.0	73.0	73.0	74.0
10-20	79.0	79.0	79.0	78.0	75.0
10-22	73.0	73.0	69.0	72.0	70.0
10-24	79.0	77.0	78.0	79.0	78.0
10-26	82.0	82.0	82.0	81.0	73.0
10-28	75.0	75.0	72.0	74.0	73.0
10-30	81.0	80.0	81.0	79.0	73.0
10-32	80.0	80.0	76.0	79.0	78.0
10-34	80.0	80.0	80.0	79.0	74.0
10-36	81.0	81.0	80.0	81.0	80.0
10-38	83.0	83.0	82.0	79.0	78.0
10-40	79.0	79.0	78.0	76.0	75.0
10-42	81.0	81.0	75.0	77.0	72.0
10-44	81.0	81.0	79.0	77.0	77.0
10-46	84.0	84.0	83.0	81.0	80.0
10-48	73.0	73.0	71.0	73.0	72.0
10-50	82.0	82.0	81.0	79.0	78.0
10-52	78.0	75.0	77.0	77.0	78.0
10-54	75.0	75.0	73.0	73.0	71.0
10-56	79.0	79.0	77.0	79.0	78.0
10-58	82.0	82.0	80.0	82.0	81.0
11-00	75.0	75.0	73.0	74.0	69.0
11-02	81.0	81.0	78.0	81.0	80.0
11-04	84.0	84.0	82.0	81.0	77.0
11-06	83.0	83.0	83.0	81.0	78.0
11-08	78.0	74.0	75.0	78.0	77.0
11-10	82.0	82.0	82.0	78.0	80.0
11-12	84.0	83.0	80.0	82.0	82.0
11-14	74.0	74.0	72.0	71.0	72.0
11-16	78.0	78.0	75.0	76.0	76.0
11-18	80.0	81.0	79.0	79.0	77.0
11-20	82.0	81.0	77.0	82.0	82.0
11-22	81.0	81.0	79.0	77.0	75.0
